STT,Lat2,Lon2,Unit
156,10.8038498,106.7003489,Quận Bình Thạnh
157,10.8028121,106.6930854,Quận Bình Thạnh
158,10.8100448,106.689395,Quận Bình Thạnh
159,10.8065324,106.6872238,Quận Bình Thạnh
160,10.8062797,106.6904654,Quận Bình Thạnh
161,10.8135059,106.6938767,Quận Bình Thạnh
162,10.8086201,106.7038839,Quận Bình Thạnh
163,10.8201908,106.7024795,Quận Bình Thạnh
164,10.8043959,106.6982308,Quận Bình Thạnh
165,10.8017789,106.7081803,Quận Bình Thạnh
166,10.7979092,106.7056351,
167,10.7904223,106.7089016,
168,10.7941313,106.7097121,
169,10.7979729,106.7179585,
170,10.8031455,106.7098682,
171,10.8035626,106.7191827,
172,10.8165728,106.7059622,
173,10.8166422,106.7210337,
174,10.8252854,106.7336013,
175,10.817132,106.6887668,Quận Gò Vấp
176,10.8201928,106.6832727,Quận Gò Vấp
177,10.8224764,106.685349,Quận Gò Vấp
178,10.8249969,106.6879228,Quận Gò Vấp
179,10.8412183,106.6779234,Quận Gò Vấp
180,10.8266251,106.6848934,Quận Gò Vấp
181,10.8422664,106.6546427,Quận Gò Vấp
182,10.8444517,106.6504856,Quận Gò Vấp
183,10.8348655,106.6632559,Quận Gò Vấp
184,10.8345492,106.6642544,Quận Gò Vấp
185,10.8438886,106.6403185,Quận Gò Vấp
186,10.8531949,106.6576532,
187,10.8424705,106.6381682,
188,10.846818,106.6703617,
189,10.851984,106.665467,
190,10.8381295,106.6792581,
191,10.7988458,106.681796,Quận Phú Nhuận
192,10.8013269,106.6837106,Quận Phú Nhuận
193,10.8017129,106.6820152,Quận Phú Nhuận
194,10.8094573,106.6787563,Quận Phú Nhuận
195,10.803868,106.684734,Quận Phú Nhuận
196,10.8036407,106.6862185,Quận Phú Nhuận
197,10.7979253,106.6744957,Quận Phú Nhuận
198,10.8001627,106.6779123,Quận Phú Nhuận
199,10.795661,106.6724344,Quận Phú Nhuận
200,10.7922865,106.6729311,Quận Phú Nhuận
201,10.7886783,106.6695941,Quận Phú Nhuận
202,10.7963794,106.6793876,
203,10.7927248,106.6808892,
204,10.7946614,106.667506,Quận Tân Bình
205,10.7989941,106.6645629,Quận Tân Bình
206,10.7941114,106.6622588,Quận Tân Bình
207,10.7949501,106.6593652,Quận Tân Bình
208,10.7907689,106.6617608,Quận Tân Bình
209,10.7778909,106.65603,Quận Tân Bình
210,10.7899181,106.6584915,Quận Tân Bình
211,10.7807836,106.6543619,Quận Tân Bình
212,10.7800426,106.6502573,Quận Tân Bình
213,10.7746806,106.6482886,Quận Tân Bình
214,10.78515,106.6504448,
215,10.7943313,106.6504052,
216,10.8018481,106.6424321,
217,10.7965938,106.6383869,
218,10.8147398,106.6322462,
219,10.7703012,106.6258607,Quận Tân Phú
220,10.7791277,106.6384205,Quận Tân Phú
221,10.7831614,106.6242432,Quận Tân Phú
222,10.7861715,106.6295121,Quận Tân Phú
223,10.7810226,106.6433377,Quận Tân Phú
224,10.7967677,106.6193447,Quận Tân Phú
225,10.7948625,106.6317344,Quận Tân Phú
226,10.7923288,106.632563,Quận Tân Phú
227,10.764922,106.6324,Quận Tân Phú
228,10.8127175,106.623275,
229,10.8034163,106.6222918,
230,10.7252168,106.6148089,Quận Bình Tân
231,10.7512051,106.6225934,Quận Bình Tân
232,10.7921307,106.6044675,Quận Bình Tân
233,10.7897111,106.6024444,Quận Bình Tân
234,10.813176,106.5938119,Quận Bình Tân
235,10.7724193,106.6093068,Quận Bình Tân
236,10.7646032,106.6044252,Quận Bình Tân
237,10.7579718,106.6076139,Quận Bình Tân
238,10.7606644,106.5895926,
239,10.7568542,106.5867951,
240,10.7881444,106.7346639,
241,10.7781417,106.7278136,
242,10.7878018,106.7343311,
243,10.8824655,106.7296559,
244,10.8494328,106.769321,
245,10.789538,106.7718746,
246,10.7836881,106.7654137,
247,10.76159,106.784498,
248,10.8291421,106.7137661,
249,10.8602021,106.7236429,
250,10.8457402,106.7822461,
251,10.8558519,106.7637357,
252,10.8550259,106.7476356,
253,10.8549824,106.7552662,
254,10.8645691,106.7618964,
255,10.8791427,106.765849,
256,10.8667408,106.8402158,
257,10.8093125,106.8596094,
258,10.8426121,106.8242674,
259,10.8053765,106.8166739,
260,10.791358,106.7985141,
261,10.8156089,106.7740813,
262,10.8270825,106.7624227,
263,10.8260935,106.7690791,
264,10.8685316,106.7348092,
265,10.8626397,106.7437193,
266,10.8590452,106.8007891,
267,10.8454738,106.7941778,
268,10.8355034,106.7825465,
269,10.7707105,106.770208,
270,10.8050289,106.7401263,
271,10.7892839,106.7437246,
272,10.8270805,106.8141099,
273,10.8461949,106.7559984,
274,10.6962081,106.7347639,Huyện Nhà Bè
275,10.6135836,106.7394938,Huyện Nhà Bè
276,10.6562492,106.7289464,Huyện Nhà Bè
277,10.677868,106.6993124,Huyện Nhà Bè
278,10.678447,106.7541494,Huyện Nhà Bè
279,10.693372,106.7038371,Huyện Nhà Bè
280,10.7060783,106.6885326,Huyện Nhà Bè
281,10.8880062,106.5985182,Huyện Hóc Môn
282,10.8400924,106.5994803,Huyện Hóc Môn
283,10.9044981,106.6357908,Huyện Hóc Môn
284,10.9111587,106.6744939,Huyện Hóc Môn
285,10.9088297,106.5896775,Huyện Hóc Môn
286,10.8937888,106.5832284,Huyện Hóc Môn
287,10.8764235,106.5993305,Huyện Hóc Môn
288,10.8909146,106.6124852,Huyện Hóc Môn
289,10.875208,106.6114877,Huyện Hóc Môn
290,10.8667596,106.5891524,Huyện Hóc Môn
291,10.8783822,106.5761967,Huyện Hóc Môn
292,10.8631386,106.5685471,
293,10.6834427,106.5523732,Huyện Bình Chánh
294,10.6698618,106.6138179,Huyện Bình Chánh
295,10.6613987,106.5665787,Huyện Bình Chánh
296,10.7260279,106.6891366,Huyện Bình Chánh
297,10.7528125,106.4808281,Huyện Bình Chánh
298,10.6839375,106.6437344,Huyện Bình Chánh
299,10.6578891,106.6088437,Huyện Bình Chánh
300,10.774254,106.5444472,Huyện Bình Chánh
301,10.7850134,106.5226006,Huyện Bình Chánh
302,10.6985171,106.6430871,Huyện Bình Chánh
303,10.6485375,106.6497656,
304,10.7133866,106.5949086,
305,10.7108375,106.5543594,
306,10.6580052,106.590796,
307,10.801204,106.562411,
308,10.7983417,106.560447,
309,10.9729173,106.4934599,Huyện Củ Chi
310,11.0649712,106.4850017,Huyện Củ Chi
311,11.116864,106.5008776,Huyện Củ Chi
312,10.9296343,106.6471406,Huyện Củ Chi
313,10.9798906,106.6164929,Huyện Củ Chi
314,11.034097,106.487063,Huyện Củ Chi
315,11.0389925,106.5360415,Huyện Củ Chi
316,11.0258355,106.5644609,Huyện Củ Chi
317,11.1303625,106.4785156,
318,10.9676292,106.4881074,
319,10.9672972,106.4893801,
320,10.9838307,106.5163565,
321,10.9608753,106.4791593,
322,10.939816,106.5397446,
323,10.9607638,106.5948714,
