STT,Lat2,Lon2,Cars,Unit
144,10.8412867,106.6239439,508,Quận 12
145,10.8452255,106.6300284,577,Quận 12
146,10.8677106,106.6406024,707,Quận 12
147,10.8703511,106.6197673,586,Quận 12
148,10.8334523,106.6267237,967,Quận 12
149,10.8673635,106.6259528,982,Quận 12
150,10.8759487,106.6493377,675,Quận 12
151,10.8787583,106.6384463,1.295,Quận 12
152,10.8750803,106.6767443,876,Quận 12
153,10.8546375,106.6911719,772,Quận 12
154,10.8794114,106.6774318,837,Quận 12
155,10.7999883,106.6965743,156,Quận Bình Thạnh
156,10.8038498,106.7003489,198,Quận Bình Thạnh
157,10.8028121,106.6930854,264,Quận Bình Thạnh
158,10.8100448,106.689395,201,Quận Bình Thạnh
159,10.8065324,106.6872238,134,Quận Bình Thạnh
160,10.8062797,106.6904654,6.886,Quận Bình Thạnh
161,10.8135059,106.6938767,378,Quận Bình Thạnh
162,10.8086201,106.7038839,451,Quận Bình Thạnh
163,10.8201908,106.7024795,480,Quận Bình Thạnh
164,10.8043959,106.6982308,133,Quận Bình Thạnh
165,10.8017789,106.7081803,282,Quận Bình Thạnh
166,10.7979092,106.7056351,294,Quận Bình Thạnh
167,10.7904223,106.7089016,223,Quận Bình Thạnh
168,10.7941313,106.7097121,284,Quận Bình Thạnh
169,10.7979729,106.7179585,543,Quận Bình Thạnh
170,10.8031455,106.7098682,303,Quận Bình Thạnh
171,10.8035626,106.7191827,516,Quận Bình Thạnh
172,10.8165728,106.7059622,486,Quận Bình Thạnh
173,10.8166422,106.7210337,261,Quận Bình Thạnh
174,10.8252854,106.7336013,209,Quận Bình Thạnh
175,10.817132,106.6887668,274,Quận Gò Vấp
176,10.8201928,106.6832727,384,Quận Gò Vấp
177,10.8224764,106.685349,166,Quận Gò Vấp
178,10.8249969,106.6879228,649,Quận Gò Vấp
179,10.8412183,106.6779234,425,Quận Gò Vấp
180,10.8266251,106.6848934,402,Quận Gò Vấp
181,10.8422664,106.6546427,376,Quận Gò Vấp
182,10.8444517,106.6504856,452,Quận Gò Vấp
183,10.8348655,106.6632559,572,Quận Gò Vấp
184,10.8345492,106.6642544,680,Quận Gò Vấp
185,10.8438886,106.6403185,696,Quận Gò Vấp
186,10.8531949,106.6576532,281,Quận Gò Vấp
187,10.8424705,106.6381682,646,Quận Gò Vấp
188,10.846818,106.6703617,371,Quận Gò Vấp
189,10.851984,106.665467,650,Quận Gò Vấp
190,10.8381295,106.6792581,648,Quận Gò Vấp
191,10.7988458,106.681796,128,Quận Phú Nhuận
192,10.8013269,106.6837106,135,Quận Phú Nhuận
193,10.8017129,106.6820152,102,Quận Phú Nhuận
194,10.8094573,106.6787563,169,Quận Phú Nhuận
195,10.803868,106.684734,179,Quận Phú Nhuận
196,10.8036407,106.6862185,266,Quận Phú Nhuận
197,10.7979253,106.6744957,104,Quận Phú Nhuận
198,10.8001627,106.6779123,250,Quận Phú Nhuận
199,10.795661,106.6724344,113,Quận Phú Nhuận
200,10.7922865,106.6729311,192,Quận Phú Nhuận
201,10.7886783,106.6695941,178,Quận Phú Nhuận
202,10.7963794,106.6793876,132,Quận Phú Nhuận
203,10.7927248,106.6808892,99,Quận Phú Nhuận
204,10.7946614,106.667506,144,Quận Tân Bình
205,10.7989941,106.6645629,430,Quận Tân Bình
206,10.7941114,106.6622588,201,Quận Tân Bình
207,10.7949501,106.6593652,363,Quận Tân Bình
208,10.7907689,106.6617608,208,Quận Tân Bình
209,10.7778909,106.65603,321,Quận Tân Bình
210,10.7899181,106.6584915,197,Quận Tân Bình
211,10.7807836,106.6543619,245,Quận Tân Bình
212,10.7800426,106.6502573,377,Quận Tân Bình
213,10.7746806,106.6482886,540,Quận Tân Bình
214,10.78515,106.6504448,363,Quận Tân Bình
215,10.7943313,106.6504052,454,Quận Tân Bình
216,10.8018481,106.6424321,607,Quận Tân Bình
217,10.7965938,106.6383869,346,Quận Tân Bình
218,10.8147398,106.6322462,819,Quận Tân Bình
219,10.7703012,106.6258607,383,Quận Tân Phú
220,10.7791277,106.6384205,404,Quận Tân Phú
221,10.7831614,106.6242432,540,Quận Tân Phú
222,10.7861715,106.6295121,584,Quận Tân Phú
223,10.7810226,106.6433377,538,Quận Tân Phú
224,10.7967677,106.6193447,834,Quận Tân Phú
225,10.7948625,106.6317344,528,Quận Tân Phú
226,10.7923288,106.632563,498,Quận Tân Phú
227,10.764922,106.6324,387,Quận Tân Phú
228,10.8127175,106.623275,803,Quận Tân Phú
229,10.8034163,106.6222918,600,Quận Tân Phú
230,10.7252168,106.6148089,1.076,Quận Bình Tân
231,10.7512051,106.6225934,411,Quận Bình Tân
232,10.7921307,106.6044675,1.191,Quận Bình Tân
233,10.7897111,106.6024444,1.570,Quận Bình Tân
234,10.813176,106.5938119,1.232,Quận Bình Tân
235,10.7724193,106.6093068,1.070,Quận Bình Tân
236,10.7646032,106.6044252,952,Quận Bình Tân
237,10.7579718,106.6076139,788,Quận Bình Tân
238,10.7606644,106.5895926,952,Quận Bình Tân
239,10.7568542,106.5867951,967,Quận Bình Tân
240,10.7881444,106.7346639,332,TP Thủ Đức
241,10.7781417,106.7278136,15,TP Thủ Đức
242,10.7878018,106.7343311,356,TP Thủ Đức
243,10.8824655,106.7296559,1.008,TP Thủ Đức
244,10.8494328,106.769321,211,TP Thủ Đức
245,10.789538,106.7718746,397,TP Thủ Đức
246,10.7836881,106.7654137,387,TP Thủ Đức
247,10.76159,106.784498,226,TP Thủ Đức
248,10.8291421,106.7137661,1.340,TP Thủ Đức
249,10.8602021,106.7236429,1.661,TP Thủ Đức
250,10.8457402,106.7822461,333,TP Thủ Đức
251,10.8558519,106.7637357,301,TP Thủ Đức
