Unit,Type,Value,Column,Row,x coordinate,y coordinate
Quận 8,x2 value,1.0,17,10,10.7206342,106.6323425
Quận 8,x2 value,6.0,18,7,10.7148464,106.6249225
Quận 8,x2 value,6.0,19,10,10.725561,106.6261241
Quận 8,x2 value,6.0,22,7,10.7122905,106.6174564
Quận 8,x3 value,5.0,22,7,10.7122905,106.6174564
Quận 8,x2 value,6.0,25,7,10.7331543,106.6052491
Quận 8,x3 value,6.0,25,7,10.7331543,106.6052491
Quận 8,x2 value,6.0,31,7,10.699249,106.610049
Quận 8,x3 value,6.0,31,7,10.699249,106.610049
Quận 8,x2 value,6.0,32,7,10.7107447,106.6176002
