Time,Objective Value,Best Bound
0.10952937498223037,1e+100,-2198428572637.8909
0.14367058299831115,58208303519.49616,-2198428572637.8909
0.20115474998601712,58208303519.49616,0.03292585350573063
0.26748341700294986,53733863949.73729,0.03292585350573063
0.2884877499891445,53733863949.73729,0.03438770119100809
0.3408698749844916,48686775512.76967,0.03438770119100809
0.36199704199680127,48588682256.061554,0.034727128222584724
0.40895675000501797,48574677143.92472,0.034727128222584724
0.7953067919879686,48567494530.35765,0.03688737936317921
0.8208471669931896,48567494530.35765,0.0420744139701128
1.5041689169884194,48567147061.80919,0.0420744139701128
3.2170096669869963,48567147061.80919,43711563608.15702
3.35095629200805,48563994202.019485,44923783239.24998
3.382246374996612,48563994202.019485,48560272891.08858
3.493897874985123,48563994202.019485,48560291553.19239
3.7343902499997057,48563994202.019485,48560485086.17714
3.9877511670056265,48563994202.019485,48560485816.58363
3.9981662920035888,48563994202.019485,48560490238.728226
4.100290707981912,48563994202.019485,48560491526.8658
4.197762333002174,48563994202.019485,48560492228.19795
4.225835166987963,48563994202.019485,48560494589.78383
4.808294082991779,48561185949.34703,48560499788.181595
5.37127641699044,48560950032.893616,48560499788.181595
5.476461832993664,48560950032.893616,48560528989.43106
5.594068916980177,48560950032.893616,48560530317.443275
5.603630957979476,48560950032.893616,48560533364.6321
5.766715542005841,48560950032.893616,48560535278.90947
5.793732166988775,48560950032.893616,48560537206.39284
5.795660792005947,48560950032.893616,48560545626.50031
5.819275666988688,48560950032.893616,48560546113.36608
5.840493541996693,48560950032.893616,48560552422.910286
5.858522374997847,48560950032.893616,48560559746.488365
5.903795499994885,48560950032.893616,48560576103.512535
6.284055750002153,48560950032.893616,48560576826.286194
6.461896958004218,48560950032.893616,48560688494.03568
6.464297832979355,48560950032.893616,48560716028.259544
6.475553625001339,48560950032.893616,48560718935.46758
6.509881167003186,48560950032.893616,48560722828.96516
6.511756041989429,48560950032.893616,48560726885.05297
6.513269791990751,48560950032.893616,48560727348.93258
6.526166875002673,48560950032.893616,48560749263.27708
6.528788249997888,48560950032.893616,48560750699.845924
6.537963957991451,48560950032.893616,48560755416.99401
6.540362667001318,48560950032.893616,48560756126.901665
6.541614582994953,48560950032.893616,48560773993.65908
6.543460499990033,48560950032.893616,48560775221.85706
6.5549203749978915,48560950032.893616,48560784576.27299
6.577364374999888,48560950032.893616,48560795976.442406
6.587743291980587,48560950032.893616,48560820919.54392
6.608026957983384,48560950032.893616,48560822708.167435
6.613622792006936,48560950032.893616,48560823859.33635
6.650664291984867,48560950032.893616,48560826548.00756
6.66040779199102,48560950032.893616,48560827236.9757
6.665417582989903,48560950032.893616,48560827511.36993
6.6657839579856955,48560950032.893616,48560827682.77861
6.6849777919996995,48560950032.893616,48560828209.447266
6.691137166984845,48560950032.893616,48560830200.04114
6.691410667001037,48560950032.893616,48560830443.20636
6.7132025829923805,48560950032.893616,48560830873.3356
6.720032791985432,48560950032.893616,48560830889.00928
6.729640542005654,48560950032.893616,48560831163.40349
6.747206707979785,48560950032.893616,48560831334.81219
6.880220791994361,48560950032.893616,48560838779.469635
6.888895374984713,48560950032.893616,48560842709.03346
6.906398666993482,48560950032.893616,48560843603.38619
6.911876583006233,48560950032.893616,48560848994.03378
6.917545707983663,48560950032.893616,48560849717.540436
6.9178701670025475,48560950032.893616,48560852857.8304
6.922193457983667,48560950032.893616,48560866651.12102
6.929101291985717,48560950032.893616,48560867860.94846
6.92954104198725,48560950032.893616,48560882295.240364
6.929981374996714,48560950032.893616,48560883974.18587
6.933517750003375,48560950032.893616,48560893660.41264
6.9349878749926575,48560950032.893616,48560896682.12716
6.939283207990229,48560950032.893616,48560898321.21478
6.946839874988655,48560950032.893616,48560900336.00147
6.947446125006536,48560950032.893616,48560903965.41919
