Time,Objective Value,Best Bound
0.20086650000303052,1e+100,-4454421505297.05
0.26263329200446606,116131031918.97255,-4454421505297.05
0.3880992500053253,116131031918.97255,-0.022500528946310095
0.5026686670025811,107380401200.52461,-0.005319132461935093
0.5496092090033926,107380401200.52461,0.008945465087890625
1.1325437919877004,52651219659.725044,0.011149217491038144
1.1660576249996666,52629423605.80275,0.012660980224609375
1.4123419169918634,52627455821.29054,0.012660980224609375
1.5135803339944687,52620556494.79112,0.03849983215332031
1.865016708994517,52617441810.55504,0.03849983215332031
2.0057762090000324,52601237261.91833,0.03849983215332031
5.400367041991558,52601237261.91833,216259628.4969368
5.565305625001201,52601237261.91833,1559978613.7416344
5.690595458989264,52601237261.91833,1621275667.097622
5.762658458988881,52601237261.91833,48941809665.79775
5.825663124996936,52601237261.91833,52586871475.01073
5.857121916982578,52601237261.91833,52586932674.020004
6.006408708984964,52601237261.91833,52587071762.67699
6.3501609999802895,52595102390.0382,52587071762.67699
6.37536341699888,52595102390.0382,52587073301.22851
