Time,Objective Value,Best Bound
0.029221917007816955,1e+100,-587718681071.5916
0.03570429200772196,15119979300.41411,-587718681071.5916
0.045285416999831796,15119979300.41411,0.0003901389427483082
0.06681074999505654,5715900843.744373,0.0003901389427483082
0.07145512499846518,5715900843.744373,0.0005656150169670582
0.09076066699344665,5247000423.44775,0.0026821913197636604
0.17695862500113435,5247000423.44775,0.0027188719110925173
0.23353754199342802,5247000423.44775,406527036.695431
0.960659709002357,5247000423.44775,407691172.8975875
0.9607661670015659,5247000423.44775,407691172.8976786
1.0406077500083484,5247000423.44775,407764064.16297656
1.0407115000125486,5247000423.44775,408171742.3355114
1.1459471250127535,5247000423.44775,412439274.2975314
1.178881708998233,5247000423.44775,745911683.6272868
1.179225083993515,5247000423.44775,814474513.2652743
1.179506417014636,5247000423.44775,815338813.9165995
1.308746541995788,5247000423.44775,815346110.2226607
1.3410827500047162,5247000423.44775,815396698.4650385
1.3413019590079784,5247000423.44775,815497393.2912134
1.3695942500198726,5247000423.44775,815819383.3532641
1.3699091250018682,5247000423.44775,815826679.6590006
1.3991936669917777,5247000423.44775,815862915.2310755
1.452234625001438,5247000423.44775,5247000423.446155
