Time,Objective Value,Best Bound
0.2842714999860618,1e+100,-7629618288160.114
0.47573870900669135,197952312868.06656,-7629618288160.114
0.7038764169847127,197952312868.06656,-0.036234603787306696
0.9795109590049833,197543958073.85248,-0.036234603787306696
1.3079777919920161,197543958073.85248,0.05463512695860118
2.200961416994687,88556118598.90988,0.05463512695860118
3.1587959169992246,88549636349.34895,0.055233080754987895
4.783654541999567,88529648516.77766,0.055233080754987895
6.808013208996272,88529185084.05782,0.055233080754987895
8.596335666981759,88529185084.05782,0.08055616042835033
9.498611208982766,88528648599.60146,0.08055616042835033
11.065751499991165,88527036841.21938,99136.9796584257
12.752517958986573,88524981666.43959,99136.9796584257
15.778501458989922,88524981666.43959,405304276.8154993
15.778761208988726,88524981666.43959,405360888.3171406
15.77899029199034,88524981666.43959,776076947.7848889
16.01387395898928,88524981666.43959,776076947.7848902
16.503815834003035,88524981666.43959,1170918460.5979424
16.503884834004566,88524981666.43959,1373607936.0544186
16.503935624990845,88524981666.43959,1960445779.108758
17.04268112499267,88524981666.43959,2596398865.319571
17.05188483398524,88524890073.98866,2596398865.319571
17.058643583994126,88524003861.75453,2596398865.319571
17.058765666995896,88524003861.75453,2626356667.6819463
17.065056416991865,88523743712.55971,2626356667.6819463
17.475928333995398,88523743712.55971,2626360563.664909
17.939957166992826,88523743712.55971,2626385468.290593
18.39139979198808,88523743712.55971,2626399035.189688
18.837861834006617,88523743712.55971,2626440958.0004907
19.404274083994096,88523289257.92482,2626440958.0004907
19.41003595897928,88522548425.98268,2626440958.0004907
19.410139166982844,88522548425.98268,2626490871.920934
19.4163713750022,88521801365.10402,2626490871.920934
19.847396666998975,88521295552.46425,2626490871.920934
19.847674624994397,88521295552.46425,2626588235.595557
20.251513208990218,88521295552.46425,2626610457.609412
20.871348708984442,88521295552.46425,2959537402.693602
21.800939834007295,88521217096.18117,2959537402.693602
21.81613033398753,88519597276.69618,2959537402.693602
21.82404691699776,88518942364.23769,2959537402.693602
23.536474083986832,88518940926.72218,2959537402.693602
24.11468287499156,88518439467.00551,2959537402.693602
24.12413062498672,88518381070.6139,2959537402.693602
26.584231583983637,88518191337.70522,2959537402.693602
27.507461959001375,88517991599.41713,2959537402.693602
28.470825458993204,88517975529.71938,2959537402.693602
28.479664208978647,88517868109.9601,2959537402.693602
38.19650387499132,88517868109.9601,3019450971.3332343
39.67983783400268,88517868109.9601,3019571951.194945
39.68032995899557,88517868109.9601,3352785906.673338
42.18726824998157,88517868109.9601,3382767091.9947376
42.187494166981196,88517868109.9601,3383007825.643594
43.25936450000154,88517868109.9601,3383052499.0517054
43.259559708996676,88517868109.9601,3412744031.468153
43.25973979200353,88517868109.9601,3412771391.6561933
44.17297620899626,88517868109.9601,65007897408.23694
44.26029320899397,88517868109.9601,88517765101.15579
44.31641041699913,88517868109.9601,88517766091.52444
44.36919458399643,88517868109.9601,88517767394.27783
44.37372574998881,88517868109.9601,88517767649.0676
44.37374416698003,88517868109.9601,88517767893.79575
44.37376070898608,88517868109.9601,88517768204.09084
44.379862458998105,88517868109.9601,88517769194.45792
44.3814342499827,88517868109.9601,88517770441.70914
44.381491666979855,88517868109.9601,88517770996.73077
44.38174445898039,88517868109.9601,88517771187.34966
44.381762959004845,88517868109.9601,88517771699.8173
44.38233620900428,88517868109.9601,88517773692.70905
44.3823563339829,88517868109.9601,88517774247.7307
44.39050904198666,88517868109.9601,88517779062.60616
44.390535291982815,88517868109.9601,88517779617.6278
44.390597374993376,88517868109.9601,88517780671.46045
44.39060620899545,88517868109.9601,88517783638.94978
44.39062204200309,88517868109.9601,88517784003.35254
44.3906525420025,88517868109.9601,88517787201.64972
44.39071966698975,88517868109.9601,88517788404.25572
44.390868791990215,88517868109.9601,88517788404.25574
44.39087320899125,88517868109.9601,88517793219.1312
44.39088299998548,88517868109.9601,88517795802.58307
