Time,Objective Value,Best Bound
0.23184754099929705,1e+100,-4621774069962.617
0.32476445799693465,137186619425.75145,-4621774069962.617
0.5396077499899548,137186619425.75145,0.0668172687292099
0.7306805409898516,123996600420.65395,0.0668172687292099
0.797128124977462,123996600420.65395,0.10498140752315521
1.0257847499742638,70820642886.77829,0.13153551518917084
1.2626330829807557,70811051568.78061,0.13153551518917084
2.639236249990063,70805930142.57553,0.13153551518917084
3.2768050829763524,70805291556.41426,0.13153551518917084
3.3646348749753088,70800752213.19492,0.13153551518917084
4.178565374983009,70794377349.79813,0.13153551518917084
4.954403790994547,70786070699.07645,0.13153551518917084
5.205121790990233,70784677176.35892,0.13153551518917084
7.050396499980707,70784677176.35892,1107726917.1233609
7.274043874989729,70784677176.35892,18941221956.539978
7.331505374982953,70784677176.35892,62943569402.297104
7.373128499981249,70784677176.35892,70773813640.701
7.501942499977304,70784677176.35892,70773852054.54073
7.66818670797511,70784298682.79007,70773854017.23213
7.7079122079885565,70784298682.79007,70774057543.52052
7.899985540978378,70783712231.97614,70774059730.43257
7.917676707991632,70783712231.97614,70774060749.23933
7.941781457979232,70783712231.97614,70774061131.6628
8.18384933299967,70783712231.97614,70774064039.03026
8.41331320797326,70783712231.97614,70774065410.3437
8.693477582972264,70783628694.4024,70774065410.3437
8.700979290995747,70779919510.80412,70774066906.29144
8.743502165976679,70779919510.80412,70774068240.10014
8.825246249994962,70779919510.80412,70774069472.00829
9.117301708000014,70779919510.80412,70774069472.00935
9.117438957997365,70779919510.80412,70774084471.6384
9.490531666000606,70779663888.45973,70774084471.6384
9.494672624976374,70778073173.59752,70774084471.6384
15.229887249995954,70777449142.54584,70774084471.6384
15.240224499983015,70777408245.05623,70774084471.6384
28.24742870798218,70776854404.46303,70774084471.6384
28.252909124974394,70776767260.57289,70774084471.6384
60.35345112497453,70776614521.24324,70774084471.6384
60.59727999998722,70776516451.0263,70776515927.17317
