Time,Objective Value,Best Bound
0.32521304101101123,1e+100,-8618382949276.253
0.5253272500121966,222638070290.14905,-8618382949276.253
0.9009659579896834,222638070290.14905,0.019770635291934013
1.573553082998842,221827288103.13324,0.021308114752173424
2.3593222080089618,89413428945.66765,0.08156259171664715
3.6258695409924258,88476692963.46373,0.08156259171664715
4.022393082996132,88476692963.46373,0.12685067765414715
4.424172583007021,88438553197.27501,0.12685067765414715
6.915634500008309,88436761040.73302,0.12685067765414715
7.567847666010493,88420050521.41441,0.12685067765414715
8.158706832997268,88420050521.41441,1567796850.4133873
8.262480125005823,88420026051.17918,1567796850.4133873
8.307411040994339,88420026051.17918,80548027942.29741
8.417022540990729,88420026051.17918,88393902092.00708
8.568895333010005,88420026051.17918,88394001524.80217
9.32238862500526,88410428282.58937,88394001524.80217
9.355629249999765,88410428282.58937,88394001580.83269
9.758967416011728,88410428282.58937,88394181003.4667
10.354625500011025,88410428282.58937,88394183090.80534
10.863349082996137,88410428282.58937,88394184189.40251
