Time,Objective Value,Best Bound
0.1634648329927586,1e+100,-3675638922491.8267
0.21615595801267773,99831979609.00584,-3675638922491.8267
0.3044975000084378,99831979609.00584,-0.025839073583483696
0.5127437500050291,75831063652.88177,-0.025839073583483696
0.628591790999053,75787374929.3617,-0.025839073583483696
0.6915434999973513,75787374929.3617,-0.001432640478014946
0.824425250000786,75783456227.26663,0.0028704488649964333
0.8755097909888718,75763355894.77847,0.0028704488649964333
1.4833566249872092,75746066753.89067,0.12484707776457071
2.193563000007998,75744764918.78622,0.12484707776457071
2.599325666000368,75724963056.6225,0.12484707776457071
3.8245457079901826,75719475625.51144,67463359.80676967
4.466209500009427,75715647154.25987,67463359.80676967
4.814386582991574,75715647154.25987,405928570.8592584
4.994984791002935,75715647154.25987,1121015733.6812615
4.995419207989471,75715647154.25987,1514958276.853351
4.995468250010163,75715647154.25987,1515060801.1916943
4.995525375008583,75715647154.25987,1908841493.764484
5.0154667499882635,75715647154.25987,41389087580.35008
5.016208540997468,75715647154.25987,41390406885.599396
5.016252875007922,75715647154.25987,41391623466.25571
5.045211874996312,75715647154.25987,41396787042.11871
5.045406666002236,75715647154.25987,41398106347.37096
5.045440290996339,75715647154.25987,41399322928.02731
5.257224875007523,75715647154.25987,48010744690.535995
5.260786208003992,75710903496.4256,48010744690.535995
5.264100875006989,75710563346.81964,48010744690.535995
5.2641372499929275,75710563346.81964,48011381060.585884
6.421282791008707,75710495939.37689,48011381060.585884
7.787817041011294,75710452936.45097,48011381060.585884
9.26694599998882,75710452936.45097,48013022675.251564
9.267100208002375,75710452936.45097,48013115105.8927
9.267148207989521,75710452936.45097,48015748995.42573
9.435608625004534,75710452936.45097,48016257671.78742
9.43570370800444,75710452936.45097,48019734687.00626
10.303807124990271,75710452936.45097,48019827117.64778
10.303836125007365,75710452936.45097,48029038204.540184
10.615522208012408,75710452936.45097,48029106711.956
10.615622332989005,75710452936.45097,48221609522.39489
10.615644333011005,75710452936.45097,48229826124.41167
10.615822207997553,75710452936.45097,48431796568.894226
10.615992875013035,75710452936.45097,48433001187.93659
10.616302957991138,75710452936.45097,48634158804.9031
10.616359540988924,75710452936.45097,48635363423.94419
10.945237625011941,75710452936.45097,49241186366.51112
10.945852166012628,75710452936.45097,50048510008.84332
10.945901915983995,75710452936.45097,54476644902.36587
11.283730708004441,75710452936.45097,54642915689.67303
11.817199082986917,75710452936.45097,54652192801.69501
11.997541082993848,75710452936.45097,55454049253.440674
11.997678082989296,75710452936.45097,55668086239.48134
11.998110540997004,75710452936.45097,59466007903.12002
11.998125207988778,75710452936.45097,59473803338.42519
11.99829104100354,75710452936.45097,59482607827.48255
11.998425500001758,75710452936.45097,59674193256.99755
11.99865116600995,75710452936.45097,60885871922.39144
11.998895374999847,75710452936.45097,60898143526.816185
12.078114166011801,75710452936.45097,61474572221.99516
12.078219124989118,75710452936.45097,62877098046.579636
12.078312124998774,75710452936.45097,67889036136.32062
12.078393832984148,75710452936.45097,74501918185.16211
12.079039665986784,75710452936.45097,74503139036.8082
12.079440833011176,75710452936.45097,74503843401.07198
12.079620166012319,75710452936.45097,74504270751.32857
12.079862665996188,75710452936.45097,75710452936.45097
