,,10.7421375,10.7434136,10.7405183,10.7293036,10.7433988,10.7374463,10.7318125,10.7384977,10.7355655,10.7432388,10.7159547,10.7386152,10.7474206,10.7355164,10.7497169,10.7291762,10.7339455,10.7315617,10.7160218,10.7329755,10.714003,10.7379453,10.7459194,10.7246884,10.7221958,10.7134558,10.7335453,10.7485388,10.7521455,10.7455781,10.7438154,10.7137028,10.7294742,10.727061,10.7240682,10.7094418,10.7400941,10.731572,10.732551,10.7516665,10.7333091,10.7269665,10.7258386,10.744154,10.75155,10.7175875,10.7513608,10.7474293,10.7477864,10.742319,10.7387112,10.7384682,10.7251603,10.7499868
,x2 values,106.7198594,106.6936392,106.6984717,106.73215,106.7312498,106.7203525,106.7291875,106.7006494,106.6955453,106.7362812,106.7398997,106.7295631,106.7229941,106.7376312,106.7111197,106.7267712,106.718043,106.712517,106.7291562,106.7378386,106.7398313,106.7415257,106.7125121,106.7078747,106.7257872,106.7318029,106.7015581,106.7023081,106.7200834,106.7010799,106.7019267,106.7280644,106.6927029,106.7199881,106.7218566,106.7436548,106.7037242,106.732057,106.7316014,106.7071575,106.7311649,106.7334285,106.7337248,106.7293106,106.728544,106.7367321,106.7405605,106.7158642,106.7301331,106.6933681,106.7098848,106.718697,106.7438574,106.7226386
10.7490163,106.7289349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
10.7134292,106.7431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7222339,106.7364333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.744,106.7006944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7516006,106.7060288,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,6,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7383742,106.706925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7356488,106.7207342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7475819,106.7102822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10.7421375,10.7434136,10.7405183,10.7293036,10.7433988,10.7374463,10.7318125,10.7384977,10.7355655,10.7432388,10.7159547,10.7386152,10.7474206,10.7355164,10.7497169,10.7291762,10.7339455,10.7315617,10.7160218,10.7329755,10.714003,10.7379453,10.7459194,10.7246884,10.7221958,10.7134558,10.7335453,10.7485388,10.7521455,10.7455781,10.7438154,10.7137028,10.7294742,10.727061,10.7240682,10.7094418,10.7400941,10.731572,10.732551,10.7516665,10.7333091,10.7269665,10.7258386,10.744154,10.75155,10.7175875,10.7513608,10.7474293,10.7477864,10.742319,10.7387112,10.7384682,10.7251603,10.7499868
,x3 values,106.7198594,106.6936392,106.6984717,106.73215,106.7312498,106.7203525,106.7291875,106.7006494,106.6955453,106.7362812,106.7398997,106.7295631,106.7229941,106.7376312,106.7111197,106.7267712,106.718043,106.712517,106.7291562,106.7378386,106.7398313,106.7415257,106.7125121,106.7078747,106.7257872,106.7318029,106.7015581,106.7023081,106.7200834,106.7010799,106.7019267,106.7280644,106.6927029,106.7199881,106.7218566,106.7436548,106.7037242,106.732057,106.7316014,106.7071575,106.7311649,106.7334285,106.7337248,106.7293106,106.728544,106.7367321,106.7405605,106.7158642,106.7301331,106.6933681,106.7098848,106.718697,106.7438574,106.7226386
