,,10.7409741,10.7511597,10.7400548,10.7526068,10.733056,10.7541848,10.742686,10.7338382,10.7419686,10.7463299,10.7580416,10.7468584,10.7553191,10.7449126,10.7409064,10.7443336,10.7457106,10.7501892,10.7538587,10.7397581,10.7395331,10.7593152,10.7491374,10.7458058,10.7463022,10.7479052,10.7437585,10.7396078,10.7473791,10.7461519,10.7437543,10.7445965,10.7443436,10.7420659,10.7404587,10.7551442,10.7466639,10.7412868,10.7438157,10.7449088,10.7508597,10.7572905,10.7417091,10.7461673,10.7512367,10.7512649,10.7518273,10.7509584,10.7476934,10.7442729,10.7489846,10.746806,10.7453327,10.7527546,10.7472293
,x2 values,106.6273479,106.6472475,106.6259719,106.6301945,106.625665,106.6290037,106.647487,106.6251151,106.6415441,106.6520654,106.6253221,106.6176302,106.6244303,106.6492673,106.6279181,106.6469485,106.6382636,106.6366154,106.6446253,106.6278361,106.6266647,106.6256087,106.6531464,106.6263111,106.6377599,106.6501083,106.6261601,106.629519,106.6268508,106.6509461,106.6348531,106.6263666,106.6320805,106.6267636,106.6364644,106.6273117,106.6332331,106.6220374,106.6302671,106.6238208,106.6242252,106.6263183,106.6244498,106.6278152,106.65195,106.6506604,106.6313475,106.6531475,106.6313529,106.6503726,106.6282264,106.6253771,106.6303615,106.6449705,106.6429977
10.7463739,106.6534338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7499498,106.6498025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7408009,106.6445382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7454778,106.6478759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7583357,106.62598,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,6,6,0,6,0,0,0,0,0,0,0,1,0,0,0,0
,,10.7409741,10.7511597,10.7400548,10.7526068,10.733056,10.7541848,10.742686,10.7338382,10.7419686,10.7463299,10.7580416,10.7468584,10.7553191,10.7449126,10.7409064,10.7443336,10.7457106,10.7501892,10.7538587,10.7397581,10.7395331,10.7593152,10.7491374,10.7458058,10.7463022,10.7479052,10.7437585,10.7396078,10.7473791,10.7461519,10.7437543,10.7445965,10.7443436,10.7420659,10.7404587,10.7551442,10.7466639,10.7412868,10.7438157,10.7449088,10.7508597,10.7572905,10.7417091,10.7461673,10.7512367,10.7512649,10.7518273,10.7509584,10.7476934,10.7442729,10.7489846,10.746806,10.7453327,10.7527546,10.7472293
,x3 values,106.6273479,106.6472475,106.6259719,106.6301945,106.625665,106.6290037,106.647487,106.6251151,106.6415441,106.6520654,106.6253221,106.6176302,106.6244303,106.6492673,106.6279181,106.6469485,106.6382636,106.6366154,106.6446253,106.6278361,106.6266647,106.6256087,106.6531464,106.6263111,106.6377599,106.6501083,106.6261601,106.629519,106.6268508,106.6509461,106.6348531,106.6263666,106.6320805,106.6267636,106.6364644,106.6273117,106.6332331,106.6220374,106.6302671,106.6238208,106.6242252,106.6263183,106.6244498,106.6278152,106.65195,106.6506604,106.6313475,106.6531475,106.6313529,106.6503726,106.6282264,106.6253771,106.6303615,106.6449705,106.6429977
10.7463739,106.6534338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7499498,106.6498025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7408009,106.6445382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7454778,106.6478759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7583357,106.62598,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
