,,10.8083875,10.7762034,10.7815479,10.7988406,10.8118082,10.7988798,10.8001036,10.8084579,10.8000779,10.7882253,10.7887708,10.7961587,10.786918,10.8258193,10.8258263,10.8208539,10.8052313,10.8063577,10.8009497,10.7991857,10.8008466,10.7865838,10.7937537,10.8149336,10.8237687,10.8052573,10.8066313,10.7983558,10.7955132,10.784965,10.8089639,10.7997162,10.8004315,10.8007019,10.7996657,10.8162554,10.7998143,10.7984962,10.7924692,10.7967869,10.8030124,10.790775,10.783053,10.7897603,10.8047542,10.7794995,10.8347469,10.7574568,10.7983494,10.8085976,10.7994245,10.806618,10.7937413,10.8018299,10.8219252,10.8158321,10.786292,10.8023981,10.793147,10.780992,10.7759839
,x2 values,106.6639219,106.6505567,106.6535709,106.6690836,106.6697054,106.6570904,106.6670077,106.6702581,106.6651242,106.6497163,106.6494348,106.6415864,106.641914,106.6307968,106.6307754,106.6351198,106.6473735,106.6475536,106.6535375,106.6518676,106.6508216,106.6441638,106.6632691,106.6677421,106.633877,106.6660372,106.6642128,106.6681112,106.6670421,106.6546163,106.665134,106.6499984,106.66058,106.6571314,106.6555524,106.6689454,106.6480796,106.6660827,106.6457006,106.6564802,106.6470392,106.6553239,106.654391,106.6593306,106.6673407,106.6557612,106.6446074,106.6619551,106.6631304,106.6692519,106.6615759,106.635062,106.6520107,106.6496319,106.630419,106.6641318,106.64328,106.6446732,106.640236,106.64666,106.6487627
10.7946614,106.667506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
10.7989941,106.6645629,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,0
10.7941114,106.6622588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7949501,106.6593652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7907689,106.6617608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7778909,106.65603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7899181,106.6584915,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7807836,106.6543619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7800426,106.6502573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7746806,106.6482886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10.8083875,10.7762034,10.7815479,10.7988406,10.8118082,10.7988798,10.8001036,10.8084579,10.8000779,10.7882253,10.7887708,10.7961587,10.786918,10.8258193,10.8258263,10.8208539,10.8052313,10.8063577,10.8009497,10.7991857,10.8008466,10.7865838,10.7937537,10.8149336,10.8237687,10.8052573,10.8066313,10.7983558,10.7955132,10.784965,10.8089639,10.7997162,10.8004315,10.8007019,10.7996657,10.8162554,10.7998143,10.7984962,10.7924692,10.7967869,10.8030124,10.790775,10.783053,10.7897603,10.8047542,10.7794995,10.8347469,10.7574568,10.7983494,10.8085976,10.7994245,10.806618,10.7937413,10.8018299,10.8219252,10.8158321,10.786292,10.8023981,10.793147,10.780992,10.7759839
,x3 values,106.6639219,106.6505567,106.6535709,106.6690836,106.6697054,106.6570904,106.6670077,106.6702581,106.6651242,106.6497163,106.6494348,106.6415864,106.641914,106.6307968,106.6307754,106.6351198,106.6473735,106.6475536,106.6535375,106.6518676,106.6508216,106.6441638,106.6632691,106.6677421,106.633877,106.6660372,106.6642128,106.6681112,106.6670421,106.6546163,106.665134,106.6499984,106.66058,106.6571314,106.6555524,106.6689454,106.6480796,106.6660827,106.6457006,106.6564802,106.6470392,106.6553239,106.654391,106.6593306,106.6673407,106.6557612,106.6446074,106.6619551,106.6631304,106.6692519,106.6615759,106.635062,106.6520107,106.6496319,106.630419,106.6641318,106.64328,106.6446732,106.640236,106.64666,106.6487627
10.7946614,106.667506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7989941,106.6645629,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0
10.7941114,106.6622588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7949501,106.6593652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
