,,10.7799375,10.7794875,10.7776399,10.7721859,10.7808803,10.7860049,10.7857855,10.7829214,10.7763,10.7784059,10.7821609,10.7874767,10.7813668,10.7863377,10.7884668,10.7805796,10.7835832,10.7835626,10.7819872,10.776216,10.7867669,10.7722328,10.7680842,10.7875815,10.782821,10.7792118,10.7810612,10.7842743,10.7859382,10.787959,10.7734081,10.7825795,10.777013,10.7867739
,x2 values,106.6945625,106.6880269,106.6905255,106.6828996,106.6830296,106.6667204,106.6673794,106.692345,106.6885908,106.6901339,106.6966866,106.6852371,106.6892362,106.6756545,106.6761484,106.6789248,106.6825035,106.682545,106.6944895,106.6905024,106.6808522,106.6790097,106.6749349,106.690583,106.6812322,106.6812013,106.6956462,106.6700969,106.690212,106.67811,106.6850453,106.6838504,106.683608,106.6911473
10.7688812,106.676754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7661375,106.6802336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7700528,106.6776969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7753666,106.6824012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7732783,106.6868182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7816415,106.6821765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7807658,106.6766375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7844988,106.6694471,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,6,0,6,0,3,0,0,6,0,6,0,0,0,0
,,10.7799375,10.7794875,10.7776399,10.7721859,10.7808803,10.7860049,10.7857855,10.7829214,10.7763,10.7784059,10.7821609,10.7874767,10.7813668,10.7863377,10.7884668,10.7805796,10.7835832,10.7835626,10.7819872,10.776216,10.7867669,10.7722328,10.7680842,10.7875815,10.782821,10.7792118,10.7810612,10.7842743,10.7859382,10.787959,10.7734081,10.7825795,10.777013,10.7867739
,x3 values,106.6945625,106.6880269,106.6905255,106.6828996,106.6830296,106.6667204,106.6673794,106.692345,106.6885908,106.6901339,106.6966866,106.6852371,106.6892362,106.6756545,106.6761484,106.6789248,106.6825035,106.682545,106.6944895,106.6905024,106.6808522,106.6790097,106.6749349,106.690583,106.6812322,106.6812013,106.6956462,106.6700969,106.690212,106.67811,106.6850453,106.6838504,106.683608,106.6911473
10.7688812,106.676754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7661375,106.6802336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7700528,106.6776969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7753666,106.6824012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7732783,106.6868182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7816415,106.6821765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7807658,106.6766375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7844988,106.6694471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
