,,10.753726,10.7528707,10.755355,10.761607,10.7634901,10.7594128,10.7550862,10.7549049,10.7624926,10.7550937,10.7660519,10.7532619,10.7665501,10.758002,10.7676168,10.7610329,10.7534492,10.7529343,10.7575748
,x2 values,106.695512,106.6950097,106.697594,106.7096661,106.708503,106.7104854,106.6900213,106.6920479,106.7026681,106.718353,106.7027534,106.6954429,106.7034238,106.6940321,106.7055514,106.7105413,106.7145044,106.7041188,106.6938157
10.7556008,106.690226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.759756,106.6980503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7551305,106.701704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7531938,106.7037309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7602627,106.700076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7614949,106.7003765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7613869,106.703071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7606412,106.7053791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7643239,106.7073484,0,3,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6
10.7600648,106.7072587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7533669,106.7082264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10.753726,10.7528707,10.755355,10.761607,10.7634901,10.7594128,10.7550862,10.7549049,10.7624926,10.7550937,10.7660519,10.7532619,10.7665501,10.758002,10.7676168,10.7610329,10.7534492,10.7529343,10.7575748
,x3 values,106.695512,106.6950097,106.697594,106.7096661,106.708503,106.7104854,106.6900213,106.6920479,106.7026681,106.718353,106.7027534,106.6954429,106.7034238,106.6940321,106.7055514,106.7105413,106.7145044,106.7041188,106.6938157
10.7556008,106.690226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.759756,106.6980503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7551305,106.701704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7531938,106.7037309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7602627,106.700076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7614949,106.7003765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7613869,106.703071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7606412,106.7053791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7643239,106.7073484,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
10.7600648,106.7072587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7533669,106.7082264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
